date,market_excess_returns,SMB,HML,risk_free_rate,amazon_price
20171201,-0.22,-0.37,0.37,0.004,171.05
20171204,-0.1,-0.35,1.23,0.004,169.8
20171205,-0.43,-0.44,-0.24,0.004,169.64
20171206,-0.09,-0.45,-0.52,0.004,169.01
20171207,0.42,0.25,-0.17,0.004,169.32
20171208,0.51,-0.44,-0.13,0.004,169.37
20171211,0.26,-0.4,-0.14,0.004,172.67
20171212,0.07,-0.52,0.52,0.004,171.7
20171213,0.02,0.71,-0.88,0.004,172.27
20171214,-0.47,-0.69,-0.21,0.004,172.22
20171215,0.92,0.68,0.03,0.004,173.97
20171218,0.67,0.75,0.26,0.004,176.42
20171219,-0.3,-0.36,-0.26,0.004,174.54
20171220,0.01,0.36,0.05,0.004,174.35
20171221,0.24,0.27,0.63,0.004,175.01
20171222,-0.07,-0.23,-0.2,0.004,175.01
20171226,-0.07,0.34,-0.06,0.004,170.57
20171227,0.05,-0.13,-0.19,0.004,170.6
20171228,0.22,0.12,0.04,0.004,171.08
20171229,-0.57,-0.3,0.02,0.004,169.23
20180102,0.85,0.36,-0.22,0.005,172.26
20180103,0.59,-0.39,-0.21,0.005,172.23
20180104,0.42,-0.26,0.24,0.005,173.03
20180105,0.66,-0.34,-0.26,0.005,175
20180108,0.19,-0.16,0.07,0.005,174.35
20180109,0.15,-0.36,-0.03,0.005,174.33
20180110,-0.07,0.07,0.58,0.005,174.29
20180111,0.87,1.16,0.29,0.005,175.28
20180112,0.66,-0.3,0.17,0.005,177.09
20180116,-0.49,-1.02,-0.02,0.005,176.19
20180117,0.95,-0.02,-0.15,0.005,179.1
20180118,-0.18,-0.5,-0.25,0.005,179.26
20180119,0.57,0.94,-0.07,0.005,178.46
20180122,0.77,-0.34,-0.14,0.005,177
20180123,0.22,0.14,-0.33,0.005,177.04
20180124,-0.13,-0.8,0.39,0.005,174.22
20180125,0.07,0.17,-0.49,0.005,171.11
20180126,1.11,-0.62,-0.5,0.005,171.51
20180129,-0.62,-0.02,-0.26,0.005,167.96
20180130,-1.06,0.11,-0.17,0.005,166.97
20180131,-0.07,-0.72,0.06,0.005,167.43
20180201,0.03,0.1,0.51,0.006,167.78
20180202,-2.13,0.03,-0.27,0.006,160.5
20180205,-4.03,0.78,-0.56,0.006,156.49
20180206,1.67,-0.51,-0.23,0.006,163.03
20180207,-0.37,0.51,0.27,0.006,159.54
20180208,-3.67,0.83,0.47,0.006,155.15
20180209,1.36,-0.62,0.11,0.006,156.41
20180212,1.36,-0.43,-0.29,0.006,162.71
20180213,0.31,0.05,-0.23,0.006,164.34
20180214,1.52,0.26,0.46,0.006,167.37
20180215,1.21,-0.14,-0.65,0.006,172.99
20180216,0.03,0.36,0.13,0.006,172.43
20180220,-0.62,-0.36,-0.26,0.006,171.85
20180221,-0.43,0.78,0.2,0.006,171.07
20180222,0.01,0.04,-0.39,0.006,172.5
20180223,1.54,-0.36,-0.14,0.006,175.5
20180226,1.12,-0.49,-0.07,0.006,178.97
20180227,-1.25,-0.2,0.01,0.006,178.39
20180228,-1.1,-0.4,-0.31,0.006,178.12
20180301,-1.18,1.01,-0.04,0.006,175
20180302,0.7,1.16,-0.5,0.006,176.21
20180305,1.06,-0.39,0.25,0.006,176.82
20180306,0.36,0.67,0.1,0.006,176.67
20180307,0.05,0.8,-0.45,0.006,175.03
20180308,0.37,-0.49,-0.33,0.006,176.94
20180309,1.7,-0.27,0.28,0.006,179.98
20180312,-0.09,0.46,-0.06,0.006,181.72
20180313,-0.67,0.09,-0.01,0.006,179.97
20180314,-0.53,0.23,-0.54,0.006,178.44
20180315,-0.18,-0.41,0.31,0.006,178.65
20180316,0.25,0.46,0.2,0.006,178.02
20180319,-1.38,0.34,0.41,0.006,175.3
20180320,0.15,-0.07,-0.38,0.006,175.24
20180321,-0.06,0.75,0.45,0.006,171.27
20180322,-2.54,0.5,-0.46,0.006,168.85
20180323,-2.09,0.2,-0.2,0.006,164.94
20180326,2.67,-0.69,0.02,0.006,172.77
20180327,-1.87,-0.24,0.39,0.006,168.34
20180328,-0.35,0.11,0.65,0.006,166.48
20180329,1.41,-0.29,-0.21,0.006,167.78
20180402,-2.29,-0.14,0.39,0.007,166.68
20180403,1.24,-0.05,0.17,0.007,168.39
20180404,1.17,0.32,-0.31,0.007,171.61
20180405,0.75,0.03,0.48,0.007,172.8
20180406,-2.19,0.4,-0.06,0.007,168.38
20180409,0.3,-0.15,-0.5,0.007,170.05
20180410,1.77,0.4,-0.12,0.007,173.25
20180411,-0.49,0.92,-0.31,0.007,172.44
20180412,0.84,-0.22,0.19,0.007,174.14
20180413,-0.37,0.02,-0.25,0.007,174.73
20180416,0.82,0.08,-0.04,0.007,175.82
20180417,1.09,0.16,-1.18,0.007,178.24
20180418,0.13,0.24,0.02,0.007,177.84
20180419,-0.49,-0.46,1.08,0.007,172.8
20180420,-0.81,0.06,0.62,0.007,165.72
20180423,-0.05,-0.08,0.2,0.007,165.24
20180424,-1.3,0.52,0.98,0.007,162.94
20180425,0.1,-0.34,0.01,0.007,163.65
20180426,0.96,-0.41,-0.85,0.007,164.22
20180427,0.01,-0.27,0.07,0.007,162.32
20180430,-0.8,0.03,-0.08,0.007,165.26
